employee_id,name,location,role,employment_type,hourly_rate,hire_date,term_date,dataset
1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,30-10-2019,,bookstore_employees
1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,30-12-2021,,bookstore_employees
1003,Quinn Roy,YYC-DT,Assistant Manager,PERM,21.28,04-12-2018,05-05-2020,bookstore_employees
1004,Riley Li,YYC-DT,Bookseller,PERM,17.21,21-02-2023,,bookstore_employees
1005,Sage Brown,YYC-DT,Bookseller,PERM,21.7,30-06-2021,,bookstore_employees
1006,Jessie Foster,YYC-DT,Bookseller,PERM,20.9,07-12-2022,,bookstore_employees
1007,Elliot Smith,YYC-DT,Bookseller,PERM,21.68,02-02-2021,,bookstore_employees
1008,Spencer Patel,YYC-DT,Bookseller,PERM,18.9,22-09-2023,,bookstore_employees
1009,Sam Nguyen,YYC-DT,Bookseller,PERM,18.45,16-09-2022,,bookstore_employees
1010,Taylor Martin,YYC-DT,Seasonal Associate,SEASONAL,16.46,,,bookstore_employees
1011,Riley Hughes,YYC-DT,Seasonal Associate,SEASONAL,16.61,,,bookstore_employees
1012,Robin Nguyen,YYC-DT,Seasonal Associate,SEASONAL,17.36,,,bookstore_employees
1013,Elliot Martin,YYC-DT,Seasonal Associate,SEASONAL,17.78,,,bookstore_employees
1014,Skyler Adams,YYC-DT,Seasonal Associate,SEASONAL,17.35,,,bookstore_employees
1015,Skyler Gagnon,YYC-DT,Seasonal Associate,SEASONAL,17.66,,,bookstore_employees
1016,Reese Roy,YYC-DT,Warehouse Clerk,PERM,20.17,07-11-2018,22-07-2020,bookstore_employees
1017,Brooklyn White,YYC-DT,Warehouse Clerk,PERM,19.31,24-10-2019,,bookstore_employees
1018,Quinn Nguyen,YYC-DT,Eâ€‘Commerce Specialist,PERM,26.33,07-11-2020,,bookstore_employees
1019,Avery Campbell,YYC-NW,Store Manager,PERM,32.17,26-01-2023,,bookstore_employees
1020,Reese Turner,YYC-NW,Assistant Manager,PERM,22.77,01-07-2022,,bookstore_employees
1021,Quinn Li,YYC-NW,Bookseller,PERM,19.9,01-06-2023,,bookstore_employees
1022,Casey Gordon,YYC-NW,Bookseller,PERM,19.95,07-10-2018,,bookstore_employees
1023,Hayden Brown,YYC-NW,Bookseller,PERM,21,02-12-2023,,bookstore_employees
1024,Taylor Chen,YYC-NW,Bookseller,PERM,17.93,11-08-2018,,bookstore_employees
1025,Jordan Pereira,YYC-NW,Bookseller,PERM,18.98,01-02-2020,,bookstore_employees
1026,Parker Young,YYC-NW,Seasonal Associate,SEASONAL,16.84,,,bookstore_employees
1027,Quinn Singh,YYC-NW,Seasonal Associate,SEASONAL,17.3,,,bookstore_employees
1028,Sage Thompson,YYC-NW,Seasonal Associate,SEASONAL,16.97,,,bookstore_employees
1029,Elliot Brown,YYC-NW,Seasonal Associate,SEASONAL,17.39,,,bookstore_employees
1030,Dylan Smith,YYC-NW,Seasonal Associate,SEASONAL,17.71,,,bookstore_employees
1031,Elliot Clark,YYC-NW,Warehouse Clerk,PERM,18.78,02-07-2020,,bookstore_employees
1032,Harper Young,YYC-NW,Eâ€‘Commerce Specialist,PERM,27.81,23-09-2020,,bookstore_employees
1033,Parker White,YYC-SE,Store Manager,PERM,31.57,26-01-2021,,bookstore_employees
1034,Casey Campbell,YYC-SE,Assistant Manager,PERM,26.37,01-09-2021,,bookstore_employees
1035,Taylor Singh,YYC-SE,Bookseller,PERM,17.29,27-10-2022,,bookstore_employees
1036,Jessie Roy,YYC-SE,Bookseller,PERM,18.8,22-10-2019,,bookstore_employees
1037,Rowan Smith,YYC-SE,Bookseller,PERM,19.13,22-07-2022,15-12-2023,bookstore_employees
1038,Riley Brown,YYC-SE,Bookseller,PERM,21.09,13-11-2020,,bookstore_employees
1039,Dylan Anderson,YYC-SE,Seasonal Associate,SEASONAL,16.42,,,bookstore_employees
1040,Brooklyn Adams,YYC-SE,Seasonal Associate,SEASONAL,16.83,,,bookstore_employees
1041,Parker Wilson,YYC-SE,Seasonal Associate,SEASONAL,17.86,,,bookstore_employees
1042,Parker Pereira,YYC-SE,Seasonal Associate,SEASONAL,17.13,,,bookstore_employees
1043,Casey Baker,YYC-SE,Warehouse Clerk,PERM,21.61,17-02-2024,,bookstore_employees
1044,Quinn Campbell,YYC-SE,Eâ€‘Commerce Specialist,PERM,27.48,08-06-2018,,bookstore_employees
1045,Jessie Adams,YYC-WH,Seasonal Associate,SEASONAL,16.27,,,bookstore_employees
1046,Taylor Young,YYC-WH,Seasonal Associate,SEASONAL,16.08,,,bookstore_employees
1047,Harper Wilson,YYC-WH,Seasonal Associate,SEASONAL,16.11,,,bookstore_employees
1048,Elliot Foster,YYC-WH,Seasonal Associate,SEASONAL,16.7,,,bookstore_employees
1049,Riley Wilson,YYC-WH,Seasonal Associate,SEASONAL,17.24,,,bookstore_employees
1050,Brooklyn Chen,YYC-WH,Seasonal Associate,SEASONAL,16.8,,,bookstore_employees
1051,Quinn Adams,YYC-WH,Warehouse Clerk,PERM,18.1,07-06-2021,,bookstore_employees
1052,Skyler Gagnon,YYC-WH,Warehouse Clerk,PERM,21.03,09-03-2020,,bookstore_employees
1053,Riley Baker,YYC-WH,Warehouse Clerk,PERM,19.02,03-05-2020,,bookstore_employees
1054,Hayden Gordon,YYC-WH,Warehouse Clerk,PERM,19.89,19-07-2020,,bookstore_employees
1055,Sam Roy,YYC-DT,Seasonal Associate,SEASONAL,17.86,04-07-2019,22-08-2019,bookstore_employees
1056,Sam Turner,YYC-DT,Seasonal Associate,SEASONAL,17.64,07-07-2019,24-08-2019,bookstore_employees
1057,Dylan Anderson,YYC-DT,Seasonal Associate,SEASONAL,16.99,04-07-2019,22-08-2019,bookstore_employees
1058,Taylor Martin,YYC-DT,Seasonal Associate,SEASONAL,16.73,24-11-2019,26-12-2019,bookstore_employees
1059,Spencer Campbell,YYC-DT,Seasonal Associate,SEASONAL,16.37,20-11-2019,30-12-2019,bookstore_employees
1060,Hayden Martin,YYC-DT,Seasonal Associate,SEASONAL,17.79,20-11-2019,23-12-2019,bookstore_employees
1061,Harper MacLeod,YYC-DT,Seasonal Associate,SEASONAL,17.57,22-11-2019,26-12-2019,bookstore_employees
1062,Dylan Adams,YYC-DT,Seasonal Associate,SEASONAL,16.98,11-11-2019,27-12-2019,bookstore_employees
1063,Brooklyn Li,YYC-NW,Seasonal Associate,SEASONAL,16.22,10-07-2019,22-08-2019,bookstore_employees
1064,Quinn Li,YYC-NW,Seasonal Associate,SEASONAL,16.93,01-07-2019,31-08-2019,bookstore_employees
1065,Riley Foster,YYC-NW,Seasonal Associate,SEASONAL,17.57,24-11-2019,30-12-2019,bookstore_employees
1066,Elliot Gagnon,YYC-NW,Seasonal Associate,SEASONAL,16.73,11-11-2019,28-12-2019,bookstore_employees
1067,Quinn Foster,YYC-NW,Seasonal Associate,SEASONAL,17.35,11-11-2019,28-12-2019,bookstore_employees
1068,Spencer Patel,YYC-NW,Seasonal Associate,SEASONAL,16.18,24-11-2019,27-12-2019,bookstore_employees
1069,Spencer Chen,YYC-SE,Seasonal Associate,SEASONAL,16,14-07-2019,28-08-2019,bookstore_employees
1070,Parker Roy,YYC-SE,Seasonal Associate,SEASONAL,16.64,04-07-2019,30-08-2019,bookstore_employees
1071,Morgan Hughes,YYC-SE,Seasonal Associate,SEASONAL,17.23,14-07-2019,24-08-2019,bookstore_employees
1072,Jamie Smith,YYC-SE,Seasonal Associate,SEASONAL,17.36,01-07-2019,29-08-2019,bookstore_employees
1073,Sam Brown,YYC-SE,Seasonal Associate,SEASONAL,16.25,11-07-2019,24-08-2019,bookstore_employees
1074,Morgan Adams,YYC-SE,Seasonal Associate,SEASONAL,16.26,21-11-2019,23-12-2019,bookstore_employees
1075,Avery Baker,YYC-SE,Seasonal Associate,SEASONAL,16.24,10-11-2019,29-12-2019,bookstore_employees
1076,Reese Young,YYC-DT,Seasonal Associate,SEASONAL,17.34,01-07-2020,26-08-2020,bookstore_employees
1077,Taylor Chen,YYC-DT,Seasonal Associate,SEASONAL,16.12,15-07-2020,28-08-2020,bookstore_employees
1078,Dylan Young,YYC-DT,Seasonal Associate,SEASONAL,16.33,05-07-2020,23-08-2020,bookstore_employees
1079,Brooklyn Hughes,YYC-DT,Seasonal Associate,SEASONAL,16.13,08-07-2020,28-08-2020,bookstore_employees
1080,Quinn Gagnon,YYC-DT,Seasonal Associate,SEASONAL,17.35,07-07-2020,25-08-2020,bookstore_employees
1081,Alex Baker,YYC-DT,Seasonal Associate,SEASONAL,17.22,21-11-2020,26-12-2020,bookstore_employees
1082,Sage Brown,YYC-DT,Seasonal Associate,SEASONAL,16.4,17-11-2020,31-12-2020,bookstore_employees
1083,Jessie Gagnon,YYC-DT,Seasonal Associate,SEASONAL,17.92,12-11-2020,26-12-2020,bookstore_employees
1084,Quinn Gordon,YYC-DT,Seasonal Associate,SEASONAL,16.78,23-11-2020,26-12-2020,bookstore_employees
1085,Harper Turner,YYC-DT,Seasonal Associate,SEASONAL,17.05,24-11-2020,26-12-2020,bookstore_employees
1086,Jordan Clark,YYC-NW,Seasonal Associate,SEASONAL,16.04,07-07-2020,24-08-2020,bookstore_employees
1087,Reese Wilson,YYC-NW,Seasonal Associate,SEASONAL,17.36,09-07-2020,31-08-2020,bookstore_employees
1088,Brooklyn Nguyen,YYC-NW,Seasonal Associate,SEASONAL,16.24,20-11-2020,29-12-2020,bookstore_employees
1089,Sage Foster,YYC-NW,Seasonal Associate,SEASONAL,17.21,20-11-2020,27-12-2020,bookstore_employees
1090,Quinn Hughes,YYC-NW,Seasonal Associate,SEASONAL,16.2,13-11-2020,24-12-2020,bookstore_employees
1091,Avery Hughes,YYC-SE,Seasonal Associate,SEASONAL,17.28,13-07-2020,31-08-2020,bookstore_employees
1092,Jordan Adams,YYC-SE,Seasonal Associate,SEASONAL,16.09,03-07-2020,30-08-2020,bookstore_employees
1093,Rowan Adams,YYC-SE,Seasonal Associate,SEASONAL,16.79,04-07-2020,30-08-2020,bookstore_employees
1094,Finley Young,YYC-SE,Seasonal Associate,SEASONAL,17.17,22-11-2020,22-12-2020,bookstore_employees
